"グループ名","名字","名前","名字読み","名前読み","TwitterID","TwitterName","フォロワー数","ツイート数","認証","非公開","id","Twitterプロフィール","ツイート履歴"
".BPM","源","有紀子","みなと","ゆきこ","_minatoyukiko","源 有紀子【.BPM】","1492","6958","","","1247252453520625664",".BPM【@dot_BPM】みなとです #みなとぐりーん👒💚 みんなの元気の源になりたい。お笑い大好き食いしん坊。美容師免許取得／書道／和太鼓 🆕10/23(日)3rdワンマン📍渋谷！#フォロワー2000人行くまで毎日配信チャレンジ 中🔥ポコチャ待ってます👇🏻",""
".BPM","宮村","寧々","みやむら","ねね","miyamura_nene","宮村寧々〔.BPM〕","1318","3402","","","1348668645665239041",".BPM（@dot_BPM）オレンジ屋さん、髪の毛短くなりました/ 出演スケジュール→https://t.co/YNb4hcDg1g /DM事務所管理/2nd シングル「Dancin' Chicken」 好評発売中!/重要→10/23(日) Veats Shibuya ワンマン",""
".BPM","七瀬","汐里","ななせ","しおり","7se4ori","七瀬汐里【.BPM】","791","1602","","","1411678794201456640",".BPM【@dot_bpm】2021.07.24〜 新ﾒﾝﾊﾞｰ青色💙 ／趣味は野球観戦⚾︎／出演情報: https://t.co/zMPjYA0Qsy",""
".BPM","天野","洋子","あまの","ひろこ","amn_hiroko","天野ひろこ【.BPM】10月23日3rdワンマン👑Veats渋谷","4998","16199","","","902495627291930624","おいっす🙋🏻‍♀️.BPM【@dot_BPM】10月23日3rdワンマン📍Veats渋谷さんであります🌈※DMは事務所(WONDER VILLAGE)管理です",""
".BPM","高任","芹奈","たかとう","せりな","t__serina","高任芹奈【.BPM 】","1187","4494","","","997680243509874688","Serina Takato @dot_BPM リーダー ♉️ #ぱーぷるる ▶︎https://t.co/HMpSoi8qQm  / ▶︎https://t.co/w7xiGI4bZg",""
".cube","暁美","ゆず","あけみ","ゆず","cube_yuzu","暁美 ゆず【.cube 】","1371","758","","","1462598953929687051",".cube (@cube_official6) 黒色担当　ミスiD2022F",""
".cube","冥途","える","めいど","える","cube_MADE","冥途 える ↝","1008","515","","","1462615487490273290","紫【 @cube_official6 】幸せの有無.co.jp 人生.私依存症 挙動不審ですが",""
".cube","甘羽","珀杏","あまう","はくあ","cube_89a","甘羽珀杏","1027","1354","","","1462682753091186688","ｱﾏｳ ﾊｸｱ🍼最年少リーダー水色🌐@cube_official6",""
".cube","葵","新","あおい","あらた","cube_arata","葵新","681","939","","","1462686293184245765",".cube 黄色担当 @cube_official6 動画編集とかやってる(^^) お仕事依頼インスタdm🥦 #お顔が天才あおち♨️ 使い方全然分からないのでお手柔らかに… 🇯🇵×🇰🇷",""
".cube","花向","えてね","かなた","えてね","cube_kanata","花向 えてね","851","539","","","1462688721430478850","@cube_official6 白色担当",""
".Link","南","世花","みなみ","せいか","sik_723","せーか","1803","7654","","","1288970597720965120","南 世花（みなみ せいか）「.link」ドットリンクの水色担当/7/30昼 渋谷でデビューライブ/spoon配信者/雑談と寝落ち/固ツイ要確認♡ /ｴｺﾞｻ🔎#ふわりとちゅ",""
".Link","妃瀬","桜華","ひなせ","おうか","hinasedesu","妃瀬桜華（ひなせおうか）※7/30アイドルデビュー","80","353","","","1432236797363326977","DIFA ACADEMY所属  フォローよろしくね！！ 「7月30日 渋谷DESEOでアイドルデビューします✨｣ ※画像の無断使用・転載はお控えください。",""
".Link","黒屋","りあ","くろや","りあ","_3xxria","黒屋 りあ","16","11","","","1522410290729545729","【 @idol_dotlink 】  紫色担当︎︎                                                   7/30 デビューライブ【場所】SHIBUYA DESEO",""
".Link","宇佐木","れい","うさぎ","れい","rei_dotlink","宇佐木れい💚7/30アイドルデビュー","15","4","","","1523230700631396354","----------.Linkの緑担当うさぎれいです-----------寂しくても死にませんでも推してください💚7/30 SHIBUYA DESCOでアイドルデビューします💚",""
"(EmEr.)","初夛","ハク","うた","はく","haku_EmEr","ハク","3430","856","","","1366706089308299271","小規模@ha_a_ku00 / #ねえねえハクさん",""
"(EmEr.)","神崎","夏鈴","かんざき","なすず","nasuzu_EmEr","神崎夏鈴","2763","172","","","1401178101908840451","【 エゴサ #きいてよなすず 】とても加工厨",""
"(EmEr.)","佐伯","さゆ","さえき","さゆ","sayu_EmEr","佐伯さゆ (EmEr.)","210","101","","","1478016876009893889","煌めきイエロー🍋 (EmEr.) 【@EmEr_idol】 / ♡輝く乙女のはじける力",""
"(EmEr.)","結木","ナオ","ゆうき","なお","nao_EmEr","結木ナオ (EmEr.)","166","186","","","1479143078267355136","(EmEr.) エメル【@EmEr_idol】ユイキナオ 緑色",""
"(EmEr.)","風漣","結衣","ふうれん","ゆい","yui_EmEr","風漣結衣（EmEr.）","309","204","","","1515338074833637377","2022.5.27デビュー【@emer_idol】魅惑ブルー🦋💋／作詞担当📝ソロ活動🎙 ◎弾き語り、ソロでのライブ出演オファーもお待ちしております◎",""
"(EmEr.)","桃瀬","りの","ももせ","りの","rino_EmEr","桃瀬りの","195","159","","","1518053491876708354","(EmEr.)愛されピンク🎀『@EmEr_idol』",""
"「「「ゆきさき」」」","","てみ","","てみ","yukisaki_temi","てみ","327","958","","","1381617359983550464","（@yukisaki_staff ）黄色担当、サッカー観戦と餃子が大好きな超楽観的で明るい女の子です何卒！",""
"「「「ゆきさき」」」","","ホノリ","","ほのり","yukisaki_honori","ホノリ","132","509","","","1385100157750943745","「「「ゆきさき」」」@yukisaki_staffの緑担当🟢 &衣装製作🪡🧵",""
