"グループ名","名字","名前","名字読み","名前読み","TwitterID","TwitterName","フォロワー数","ツイート数","認証","Twitterプロフィール"
".BPM","源","有紀子","みなと","ゆきこ","_minatoyukiko","源 有紀子【.BPM】","1101","5009","",".BPM【@dot_BPM】みなとゆきこ です👒💚 フォローして下さい🥺💗21歳／美容師免許取得／書道／和太鼓／4月🌸東名阪3大都市ツアー、2nd Singleリリース決定！✊#フォロワー2000人行くまで毎日配信チャレンジ ポコチャです🦄⬇️"
".BPM","七瀬","汐里","ななせ","しおり","7se4ori","七瀬汐里【.BPM】","461","551","",".BPM【@dot_bpm】2021.07.24〜 新ﾒﾝﾊﾞｰ青色💙   野球観戦と動物が好き！！"
".BPM","天野","洋子","あまの","ひろこ","amn_hiroko","天野ひろこ【.BPM】springツアー決定👑","4844","14089","","おいっす🙋🏻‍♀️.BPM【@dot_BPM】春3大都市ツアー👑2nd Single決定❣️※DMは事務所(WONDER VILLAGE)管理です"
".BPM","宮村","寧々","みやむら","ねね","miyamura_nene","宮村寧々【.BPM】春3大都市ツアー","944","2251","",".BPM（@dot_BPM）最年少。黒髪未成年ちびオレンジ(もうすぐはたち)/DM事務所管理/1st Single「ばくれつけん｣発売中❕12月12日(日)生誕祭🎂(都内)【重要】東名阪スプリングツアー2022"
".BPM","高任","芹奈","たかとう","せりな","t__serina","高任芹奈【.BPM 】","903","3431","","@dot_BPM リーダー 💐 https://t.co/HMpSoi8qQm #せりとっく【 2022年 春3大都市ツアー & 2nd single リリース決定！ 】"
"［PUZZLE.］","夏乃","さやか","なつの","さやか","_kano_sayaka","夏乃さやか💎12/5 恵比寿CreAto 香椎ゆい生誕祭","11763","8793","","かのちゃん。/ゲーマーでアイドル。/［PUZZLE.］ (@puzzle_0620)ブルー担当🐬💎/女子e-sportsチーム #GSG メンバー/FPS🎮/SFVコーリン/#デジカ 公式番組出演中！/#かのちゃん拡散中/配信先は #Mildom /12月5日 香椎ゆい生誕祭 恵比寿CreAtoにて開催！"
"［PUZZLE.］","","MARIKO","","まりこ","maaari__1227","🥀MARIKO🐼12/5夜【香椎ゆい生誕祭🎂】","4505","6673","","［PUZZLE.］(@puzzle_0620)ボルドー🥀￤ #ぱずる￤ #ぱずるに会える日🗓𝕤𝕔𝕙𝕖𝕕𝕦𝕝𝕖→ https://t.co/cPKuqLw8Z9￤A型￤名古屋出身￤ゲーム￤グラビア→https://t.co/PtZwb8sR3y￤目指せ武道館￤青葉ひなり👼🏻"
"［PUZZLE.］","佐藤","まあや","さとう","まあや","satoh_maaya","佐藤まあや🐝［PUZZLE.］🧡12/5 香椎ゆい生誕祭in恵比寿CreAto","816","1224","","やっぴーー🐝🎶【@puzzle_0620】 新メンバー🧡オレンジ担当🍊プリュネク1期卒業🧚‍♀️北海道出身🦀予定は #さとうまあやかれんだーぱんだー をチェック‼️年内フォロワーさん1000人目指し中🥺✨"
"［PUZZLE.］","香椎","ゆい","かしい","ゆい","yuiyuidayo_12","香椎ゆい［PUZZLE.］🌼12/5(日)恵比寿CreAto生誕祭🎂🌼","1507","2899","","ゆいゆい、かしいちゃん｜［PUZZLE.］（@puzzle_0620）の黄色担当🌼何卒が口癖｜何事も全力で｜腹筋（育成中）｜餃子巡り🥟｜荒野行動【かしぃちゃん】｜ #かしいゆいしか ライブ予定→ #ぱずるに会える日 香椎カメラ→#ぱずるの日常"
"【eN】","宮坂","杏","みやさか","あん","eN_ann_","宮坂杏🐸🌻","3694","7787","","笑顔届けるお仕事してます。たまにコスプレ。ヒロアカオタク！♡@eN_11_11♡https://t.co/106NwVLOxy"
"【eN】","蒼井","ふう","あおい","ふう","eN_fu_","蒼井ふう🦋🍼【eN】","787","1278","","【eN】の青色🦋(@eN_11_11 ) 見た目は、イケメン‼️中身は乙女‼️オアソビはここからだ〜‼️ 元画家です‼️ DJやったり、よく歌い、よくモテます、バブ🍼🔽スケジュール(デート日)🔽"
"【eN】","水守","あき奈","みずもり","あきな","eN_mimori_","水守　あき奈【eN】💭🐑新体制💭","659","1796","","【eN】＠eN_11_11 ⑅⃛ 【ﾌﾟﾘﾕﾈｸｽﾄ1期生卒業】 ⑅⃝♡*◌⑅⃝*♡⑅⃝ﾐﾝﾄｸﾞﾘｰﾝ| 土曜わみもりの日 | 癒しをお届け | 激辛道🌶|ディズニーヲタ🌍#古着女子 |ﾌｫﾛﾜｰ1000人目指し中✨"
"【eN】","やまだ","なみ","やまだ","なみ","eN_nami0620","やまだなみ🍑","9644","22085","","えんの桃色。ツアー決定！3月大阪🐙4月名古屋🐓5月東京🗼ライブスケジュールはこちら→ https://t.co/robFLSvTPf #えんちゃん #ぼくなみ #なみゆのヒミツ"
"【eN】","桜井","紗稀","さくらい","さき","eN_saki0311_","🌸桜井紗稀(さきちょん)❄","10359","60096","","【eN】の新メンバー白色担当🤍@eN_11_11🤍ショート❣️🌸ポコチャ📹アイドルぽたく/美容/犬🐶推してくれたらしわわせにします❄️ラストグループです。色白片エクボ滑舌弱め👶推してね🤍グラビア 6thDVD発売中"
"【eN】","成瀬","せな","なるせ","せな","eN_sena_","成瀬せな🐯【eN】","2457","8452","","（@eN_11_11 ）黄色担当最年少19歳！ #えんちゃん SNS https://t.co/rFQdKdu3cY ハスキーボイスです💫"
"＆シンフィニティ","水瀬","ももか","みなせ","ももか","_mnsmmk","水瀬ももか","4790","120","","@akicha_p_idol 💎 ダイヤモンドブルー ももちぇる"
"＆シンフィニティ","有栖","かこ","ありす","かこ","ars_kako","有栖かこ🐇🍓","3185","4852","","\ 💜 @akicha_p_idol アメシストパープル担当 💜 /セブンのいちごさんどが大好きなうさぎ顔🐇🍓"
"＆シンフィニティ","長谷川","あき","はせがわ","あき","hsgwak68","長谷川あき(＆シンフィニティ)","1531","2028","","🤍@akicha_p_idol パールホワイト担当 あきちゃ🤍 170㌢ | まるがお | あしちゃ | 全力パフォーマンス | 平和主義"
"＆シンフィニティ","小倉","さやか","おぐら","さやか","ogurasayaka","小倉さやか【&シンフィニティ】","500","371","","@akicha_p_idol ガーネットピンク担当 さやぴです💕古参募集中👶🏻🍼"
"＆シンフィニティ","月島","りの","つきしま","りの","RinoMoon921","月島りの【＆シンフィニティ】","202","167","","@akicha_p_idol トパーズイエローりののです🌙🌼"
