"","","","","","","","","","","",""
"","グループ名","平均フォロワー数","メンバー数","","グループ名","フォロワー数最大/最小","メンバー数","","グループ名","平均ツイート数","メンバー数"
"","sherbet","160467.6","5","","FanCy-","752.4634146341464","4","","ラストクエスチョン","55525.5","2"
"","MM","123044","2","","mignon","186.81446540880503","3","","APOKALIPPPS","48562.166666666664","6"
"","#2i2","122311.5","4","","fairy☆dolls","133.93055555555554","6","","真説・真赤金伝説","47039.5","2"
"","twinpale","99129","2","","POMÜM","111.67647058823529","8","","なんちゃらアイドル","46519","2"
"","26時のマスカレイド","93196.6","5","","アルカナビス","94.41538461538461","6","","TA女子","43124.4","10"
"","#ババババンビ","81406.71428571429","7","","APOKALIPPPS","93.00765306122449","6","","GRATIA-ALA","37381.666666666664","3"
"","きゅるりんってしてみて","69942.6","5","","Re:verie","80.46261682242991","5","","めにぱら","37346.4","5"
"","まねきケチャ","58856.6","5","","ヱンデ","77.76878612716763","4","","no concept","37150","3"
"","わーすた","55665.4","5","","刹那的アナスタシア","74.26589595375722","5","","FES☆TIVE","36815.2","5"
"","夜光性アミューズ","53678.4","5","","あげもん！","72.73414304993253","8","","BANZAI JAPAN","35599.04761904762","21"
"","mignon","53421","3","","SAISON","65.6015466015466","5","","Will Never Stop","34478","2"
"","じゅじゅ","50665.25","4","","らぺ〜しゅ","55.724137931034484","6","","notall","34428.4","5"
"","神宿","49399.25","4","","キプリスモルホォ","53.88477366255144","6","","百鬼乙女","34025","4"
"","虹色の飛行少女","44885.166666666664","6","","innes","53.877300613496935","6","","sherbet","33891.6","5"
"","SAISON","42207.6","5","","東京セラフィム","53.666666666666664","5","","虹色の飛行少女","33775.166666666664","6"
"","Chameleon Republic","41075.25","4","","ギルドロップス","53.35454545454545","5","","FaM","31053","3"
"","APOKALIPPPS","39047.833333333336","6","","ビビッと！バビディブ～","52.70909090909091","5","","MM","29931","2"
"","FanCy-","38830","4","","フラミングの法則","51.54814814814815","5","","FEAM","29583.25","4"
"","ゑんら","35604.666666666664","3","","ミスティア","51.042296072507554","6","","虹色幻想曲 〜プリズム・ファンタジア","29275.555555555555","9"
"","シュレーディンガーの犬","33663","6","","虹色幻想曲 〜プリズム・ファンタジア","48.37394957983193","9","","predia","28396.166666666668","6"
"","虹のコンキスタドール","31079.571428571428","14","","MiSTY MORE","47.5","4","","cana÷biss","28285.4","5"
"","PassCode","30947","4","","最後の晩餐","45.79661016949152","11","","#2i2","27997.25","4"
"","シンデレラ宣言！","30326.285714285714","7","","Silly°Honey","45.12","5","","きみぷり","27567","2"
"","FES☆TIVE","25875","5","","虹のコンキスタドール","44.479091995221026","14","","めろん畑a go go","27089","5"
"","predia","25683.166666666668","6","","sherbetNEO","44.371944739638685","8","","Asterisk*zero","26287.166666666668","6"
"","我儘ラキア","24134.5","4","","晴天の霹靂","41.38297872340426","4","","Peel the Apple","25577.75","8"
"","フラミングの法則","21989.8","5","","エラバレシ","40.90518575851393","7","","ATLEPY","25152","5"
"","ナナランド","21978.285714285714","7","","キューっと！センチめんたる","40.42741935483871","5","","HIGH SPIRITS","25087.6","10"
"","ギルドロップス","21401.2","5","","天空のシラバス","37.908496732026144","6","","神風センセーション","24810.5","2"
"","エラバレシ","20979.571428571428","7","","BüDGE","37.47976878612717","5","","れんてつ","24206.5","4"
"","パラディーク","20428.4","5","","アフィシャナドゥ","35.885245901639344","7","","ぽけっとファントム","23908.2","5"
"","のんふぃく！","19283.2","5","","OdAkEi IDOL PROJECT","35.192696629213486","7","","ゑんら","23864","3"
"","メタモル!!!","19035.5","4","","＋Sugar.","34.78118161925602","5","","LAPINAILE","22884","2"
"","ONE BY ONE","19013.714285714286","7","","PinkPanda","32.58461538461538","5","","AIBECK","22306.5","6"
"","POMÜM","18715.25","8","","ワッツ◎さーくる","31.881026925485283","10","","8princess","22169.5","2"
"","LinQ","18630","8","","ヤンチャン学園音楽部","31.572202166064983","8","","空想世界","21711.333333333332","3"
"","神使轟く、激情の如く。","16961.666666666668","6","","Premony","29.978927203065133","3","","大阪☆春夏秋冬","21444.6","5"
"","純情のアフィリア","16025.75","8","","シークレットシャノワール","29.973372781065088","5","","せのしすたぁ","21199.5","2"
"","BLACKNAZARENE","15908.833333333334","6","","ワンチャンアリーナ","29.369028006589787","5","","棘-おどろ-","21175.75","4"
"","BOCCHI。","15872.142857142857","7","","miao","29.117248062015506","10","","Lion net girl","21130.5","4"
"","なんちゃらアイドル","15607","2","","I’mew","28.66488413547237","5","","ニコニコ♡LOVERS","21056","5"
"","愛乙女☆DOLL","15307.714285714286","7","","BABY TO KISS","28.65625","5","","神使轟く、激情の如く。","20686.333333333332","6"
"","elsy","15112.25","4","","LinQ","27.92427063935444","8","","始発待ちアンダーグラウンド","20350.666666666668","3"
"","真っ白なキャンバス","14865.285714285714","7","","てぃあむ","27.471744471744472","6","","We=MUKASHIBANASHI","20264.5","4"
"","アンスリューム","14694.75","4","","NEMURIORCA","27.228571428571428","7","","DREAMING MONSTER","19970.666666666668","9"
"","Ange☆Reve","14530.6","5","","パラディーク","27.19945355191257","5","","SOMOSOMO","19821.333333333332","6"
"","JamsCollection","14229.111111111111","9","","必殺エモモモモ7","26.61137440758294","5","","わーすた","19803.6","5"
"","chuLa","14011.125","8","","放課後プリンセス","26.19377162629758","6","","シュレーディンガーの犬","19763","6"
"","Lily of the valley","13909.2","5","","向日葵プリンセス","25.35452793834297","9","","Luce Twinkle Wink","19540.2","5"
"","Re:verie","13872.8","5","","西金沢少女団","25.173431734317344","9","","the mishmash","19488.5","4"
"","Peel the Apple","13569","8","","LOVE CCiNO","25.171875","6","","BOCCHI。","19149","7"
"","Yamakatsu","13194.5","4","","妄想メリケンサックチョコレート","24.7625","6","","CLIPCLIP","19060.333333333332","3"
"","sherbetNEO","13104.125","8","","BLACKNAZARENE","24.359796067006556","6","","Ange☆Reve","18898.6","5"
