"名字","人数","","名前","人数","","名字読み","人数","","名前読み","人数","","グループ名","名前","Twitter ID","フォロワー数","","グループ名","名前","Twitter ID","ツイート数"
"七瀬","27","","りん","26","","たちばな","33","","りん","51","","ZOC","大森靖子🌏","oomoriseiko","465458","","めにぱら","夏野香波☀️🪂🚤","72kakakaka73","126909"
"佐藤","21","","もも","20","","ななせ","31","","ゆい","41","","sherbet","青山ひかる@あおみん(あお松)","hikaru06kon","290364","","TJ(トーンジュエル)","彩瀬千聖🎉2/26 生誕祭開催決定🎉","TJPchihiro","92365"
"桃瀬","20","","さくら","19","","ももせ","31","","なな","34","","sherbet","橋本 梨菜","rinasketch","268210","","OMNI666","雅","omni_miyabi","92029"
"日向","18","","ひな","16","","ひなた","28","","はるか","33","","#2i2","十味 #2i2","toomi_nico","239504","","BANZAI JAPAN","藤崎ふみ🍊🍶BANZAI JAPAN山口","fumi_BJ","90238"
"橘","18","","みゆ","16","","さとう","26","","りな","31","","ZOC","藍染カレン","aizome_karen","206873","","ラストクエスチョン","桃井美鈴🐰🍫 右腕全開","Misuzu_Momoi","88122"
"如月","16","","あかり","15","","みなみ","23","","ひな","30","","HO6LA","クスノキロア","_roakusunoki6","194912","","sherbet","青山ひかる@あおみん(あお松)","hikaru06kon","86649"
"成瀬","16","","くるみ","14","","あおい","20","","みお","29","","#ババババンビ","水湊みお #ババババンビ","minato__mio","189104","","APOKALIPPPS","ゑりかちゃんべいびー🌐","apokali_erika","85673"
"椎名","16","","なな","14","","たかなし","20","","みゆ","29","","MM","ぎんしゃむ","gin__sym","188260","","Tri-Sphere","大塚美青❤️‍🔥2022年5月25日3周年記念新宿BLAZE","kirishiki0212","83690"
"葉月","16","","めい","13","","なるせ","19","","るな","28","","i☆Ris","久保田未夢(i☆Ris)","iRis_k_miyu","184504","","虹色の飛行少女","江﨑 葵@虹色の飛行少女","_aoi1826_","83037"
"小鳥遊","15","","める","13","","はづき","19","","あおい","27","","26時のマスカレイド","来栖りん（26時のマスカレイド）","nijimasu_rinrin","174183","","HIGH SPIRITS","葉月沙耶⚡HIGHSPIRITS","Sayapon_HS","82522"
"渡辺","15","","ゆい","13","","ほしの","19","","りこ","27","","sherbet","犬童美乃梨","minorin656","168073","","APOKALIPPPS","ぱいぱいでか美","paipaidekami","81682"
"鈴木","14","","れな","13","","しいな","18","","あかり","26","","ZOC","巫まろ","maro_kannagi","164586","","notall","片瀬 成美","knrmy2","78013"
"南","13","","あみ","12","","ましろ","18","","さき","26","","SAISON","鈴木まりや","mariyannu_s","161206","","CASS1E","月乃ほのか【CASS1E】12/4.5大阪名古屋遠征🤟","honoka_cass1e","74940"
"橋本","13","","かれん","12","","あさひな","17","","さくら","26","","FanCy-","沖田彩華","ayaka1o11","154222","","アイシェリング","神野あやか@アイシェリング ◡̈＊","ayatechohime","73826"
"白石","13","","はるか","12","","かんざき","17","","れい","26","","じゅじゅ","chun","_chunpi","150336","","BANZAI JAPAN","安原めい🦊BANZAI JAPAN 石川","meiY_BJ","73672"
"佐々木","12","","りお","12","","すずき","16","","もも","25","","虹のコンキスタドール","根本凪","nemoto_nagi","148938","","FES☆TIVE","髙木ゆりあ🐶♨️(FES☆TIVE)11月より全国ツアー開催！","Yuria_FESTIVE","72790"
"夢咲","12","","るな","12","","わたなべ","16","","あいり","24","","きゅるりんってしてみて","環やね","yanemint","146822","","セカイシティ","一ノ宮 紗奈( セカイシティ )","sana_sekaicity","72634"
"中村","11","","あむ","11","","きさらぎ","15","","あやか","24","","虹色の飛行少女","平松 可奈子","kanaco1114","142502","","なんちゃらアイドル","御茶海マミ(みさみまみ)","samami27","72109"
"星野","11","","ありさ","11","","さいとう","15","","みなみ","24","","i☆Ris","芹澤優(i☆Ris)","iRis_s_yu","133889","","民族ハッピー組","小泉里紗【民族ハッピー組】","risa_hpp","70107"
"花咲","11","","すず","11","","つきの","15","","めい","24","","#2i2","森嶋あんり #2i2","anchuu_122","125009","","BANZAI JAPAN","藤崎しおり💎BANZAIJAPAN山口","shiori_f_BJ","69233"
"星乃","10","","ひなた","11","","みなせ","15","","りお","24","","26時のマスカレイド","吉井美優（26時のマスカレイド）","nijimasu_miyu","122338","","the mishmash","ノシロシノ","shino_mishmash","69169"
"朝比奈","10","","ひより","11","","さくらぎ","14","","もえ","23","","バンドじゃないもん！MAXX NAKAYOSH","ちゃんもも◎a.k.a.大桃子サンライズ🌞☯️🌹","chanmomochan10","121610","","FES☆TIVE","青葉ひなり19👶🏼FES☆TIVE","Hinari_FESTIVE","68657"
"桜木","10","","みく","11","","しらいし","14","","のあ","22","","mignon","植村 梓","o2o4__azusa","118763","","BANZAI JAPAN","皆戸理芳⚓️BANZAI JAPAN神奈川県伝道師","rima_minato_BJ","66944"
