"グループ名","TwitterID","TwitterName","フォロワー数","ツイート数","フォロワー数","ツイート数","","グループ名","TwitterID","TwitterName","フォロワー増減","","グループ名","TwitterID","TwitterName","ツイート増減"
".BPM","_minatoyukiko","源 有紀子【.BPM】","1111","5030","1111","5030","","iLiFE!","iLiFE_shiori","天羽しおり【iLiFE!】","3","","PARA","kanoka_PARA","奏歌 / PARA","3"
".BPM","7se4ori","七瀬汐里【.BPM】","466","560","466","560","","Kolokol","knm_klkl","真嶋このみ〈Kolokol〉","1","","紅葉学院","momiji_amu","たたらあむ･紅葉学院","3"
".BPM","amn_hiroko","天野ひろこ【.BPM】springツアー決定👑","4845","14115","4845","14115","","OdAkEi IDOL PROJECT","_udontabetaii","ツグミ＝ノア","1","","じーくらむ！","aya_lamm","紫吹あや(じーくらむ！)","2"
".BPM","miyamura_nene","宮村寧々【.BPM】春3大都市ツアー","955","2262","955","2262","","Peel the Apple","PtA_nanako","黒嵜 菜々子【Peel the Apple】","1","","ambush","erika__ambush","木花えりか🐩【ambush.】","1"
".BPM","t__serina","高任芹奈【.BPM 】","913","3433","913","3433","","SPRISE","sp_yuzuka","七瀬 ゆず花 🐶ྀི","1","","BANZAI JAPAN","tsukasa_BJ","藤谷つかさ(BANZAIJAPAN埼玉)","1"
"［PUZZLE.］","_kano_sayaka","夏乃さやか💎12/5 恵比寿CreAto 香椎ゆい生誕祭","11755","8803","11755","8803","","あげもん！","an_agemon","華弓姫 杏","1","","HIGH SPIRITS","Sayapon_HS","葉月沙耶⚡HIGHSPIRITS","1"
"［PUZZLE.］","maaari__1227","🥀MARIKO🐼12/5🌙恵比寿CreAto【香椎ゆい生誕祭🎂】","4509","6701","4509","6701","","アルテミスの翼","riichu_1008","フェニックス・リサ","1","","IDOLATER","idolater_pan","月代 来実","1"
"［PUZZLE.］","satoh_maaya","佐藤まあや🐝［PUZZLE.］🧡12/5 香椎ゆい生誕祭in恵比寿CreAto","830","1238","830","1238","","イケてるハーツ","riichan_standup","たちばなりえちゃん","1","","Jewel☆Rouge","azusa_serino","芹野梓桜(Jewel☆Rouge候補生)","1"
"［PUZZLE.］","yuiyuidayo_12","香椎ゆい［PUZZLE.］🌼12/5(日)恵比寿CreAto生誕祭🎂🌼","1508","2933","1508","2933","","シュレーディンガーの犬","momo053112","もいちゃん【シュレ犬】","1","","Kyoto flavor","flavor_coco3","ここ♡Kyoto flavor♡","1"
"【eN】","eN_ann_","宮坂杏🐸🌻","3698","7818","3698","7818","","シンデレラ宣言！","Nasu__haru","HARU【シンデレラ宣言！】","1","","miao","mino_gomino","日向 みのり【miao】","1"
"【eN】","eN_fu_","蒼井ふう🦋🍼【eN】","795","1304","795","1304","","シンデレラ宣言！","yamamoto_yuna","YUNA【シンデレラ宣言！】","1","","MyDearDarlin'","mydear2020_yuka","咲真ゆか　MyDearDarlin’ 2022/2/26 Zepp Hanedaにて2ndワンマン","1"
"【eN】","eN_mimori_","水守　あき奈","659","1823","659","1823","","ネコプラ mom.","hikaruNECOPLA","桜井ひかる ネコプラmom.","1","","NANONI","NANONI_KAREN","キノウノ カレン - NANONI","1"
"【eN】","eN_nami0620","やまだなみ🍑","9639","22116","9639","22116","","のんふぃく！","Haru_nonfic","恋星はるか（のんふぃく）","1","","NEMURIORCA","HOSHINAORCA","ホシナリン","1"
"【eN】","eN_saki0311_","🌸桜井紗稀(さきちょん)❄","10360","60125","10360","60125","","プリズムハート","fumina2377","深川史那(ふみな) プリズムハート🐸🎈","1","","PARADISES","MIKI_GO_TO","ヤママチミキ","1"
"【eN】","eN_sena_","成瀬せな🐯【eN】","2453","8485","2453","8485","","令和華伝","y_y219","吉岡由梨子 \♥︎/ ゆりりん","1","","Peel the Apple","PtA_kokone","佐野 心音【Peel the Apple】","1"
"＆シンフィニティ","_mnsmmk","水瀬ももか","4791","126","4791","126","",".BPM","_minatoyukiko","源 有紀子【.BPM】","0","","Pety","pety_kiyokawa","山本キヨカワ","1"
"＆シンフィニティ","ars_kako","有栖かこ🐇🍓","3187","4861","3187","4861","",".BPM","7se4ori","七瀬汐里【.BPM】","0","","Pety","pety_mirei","若月美麗","1"
"＆シンフィニティ","hsgwak68","長谷川あき(＆シンフィニティ)","1533","2040","1533","2040","",".BPM","amn_hiroko","天野ひろこ【.BPM】springツアー決定👑","0","","RASCAL CLAN","riko_dspm","高梨莉子","1"
"＆シンフィニティ","ogurasayaka","小倉さやか【&シンフィニティ】","497","377","497","377","",".BPM","miyamura_nene","宮村寧々【.BPM】春3大都市ツアー","0","","SPRISE","sp_enatsu","江夏るな🐻","1"
"＆シンフィニティ","RinoMoon921","月島りの【＆シンフィニティ】","202","172","202","172","",".BPM","t__serina","高任芹奈【.BPM 】","0","","utatane","utatane_mina","兎月みな","1"
"#2i2","amau_kisumi","💋天羽希純💋12/11ワンマンライブ","95608","27832","95608","27832","","［PUZZLE.］","_kano_sayaka","夏乃さやか💎12/5 恵比寿CreAto 香椎ゆい生誕祭","0","","シュアネス","sureness_karin","山下かりん@シュアネス","1"
"#2i2","anchuu_122","森嶋あんり #2i2","124894","17564","124894","17564","","［PUZZLE.］","maaari__1227","🥀MARIKO🐼12/5🌙恵比寿CreAto【香椎ゆい生誕祭🎂】","0","","ねこふわっち。","hinata_nekohuwa","日笑☀️ねこふわっち。","1"
"#2i2","toomi_nico","十味 #2i2","239193","55381","239192","55381","","［PUZZLE.］","satoh_maaya","佐藤まあや🐝［PUZZLE.］🧡12/5 香椎ゆい生誕祭in恵比寿CreAto","0","","ネテルダイヤ","ndia_kohana","香花🌼ネテルダイヤ","1"
"#2i2","yui_oku","奥ゆい #2i2","30950","11498","30950","11498","","［PUZZLE.］","yuiyuidayo_12","香椎ゆい［PUZZLE.］🌼12/5(日)恵比寿CreAto生誕祭🎂🌼","0","","戦乱のEmpress","senran_satomi","栗山さとみ🦋戦乱のEmpress 3/1 Veatsワンマン","1"
"#BEMYLOVE","kanna_bml","安達かんな🧸#BEMYLOVE","595","10955","595","10955","","【eN】","eN_ann_","宮坂杏🐸🌻","0","",".BPM","_minatoyukiko","源 有紀子【.BPM】","0"
"#BEMYLOVE","mizuki_bml","大宮 瑞貴🐿 #BEMYLOVE","244","1820","244","1820","","【eN】","eN_fu_","蒼井ふう🦋🍼【eN】","0","",".BPM","7se4ori","七瀬汐里【.BPM】","0"
